"Title","ID","Created Date","Updated Date","Owner","Image","VTech rating","Circumference min","Circumference max","Material","Length interior","Width exterior","Length exterior","Width interior","Purchase URL","Available sizes","Size","Retail Price","User's Length Gap","User's Width Gap","Fit Calculation","Thickness","Publish Date","Unpublish Date","Status"
"Kask Mojito Small","01159ba7-3056-4d50-9498-ea0ea7988976",2023-03-15T22:40:41Z,2023-03-16T06:45:23Z,"cddc9fb8-53a5-49c9-8806-8b4a72a7b619","wix:image://v1/cddc9f_d2138d17dca14344afe3985e14c308f6~mv2.jpeg/KaskMojito.jpeg#originWidth=600&originHeight=600","Unrated",50,56,,193,193,163,163,"https://www.amazon.com/Kask-Mojito-Cubed-Bicycle-Helmet/dp/B08XN2WJ5G/ref=sr_1_2?crid=1QSYLOPN9UES&keywords=kask%2Bmojito&qid=1678920101&sprefix=kask%2Bmojito%2Caps%2C180&sr=8-2&th=1","S, M, L","Small",170,0,0,0,21,2023-03-15T21:59:41Z,,"PUBLISHED"
"Specialized Prevail 3 Large","0b9246c4-7f29-4eeb-b22d-ae24c6698124",2023-03-15T22:17:52Z,2023-03-16T06:44:43Z,"cddc9fb8-53a5-49c9-8806-8b4a72a7b619","wix:image://v1/155640_588ebd4925d041c0a75f78130697fce2~mv2.jpg/Specialized-Prevail-III-Road-Bike-Helmet.jpg#originWidth=1080&originHeight=1080","5 Stars",58,62,"EPS Foam",226,226,166,166,"https://www.specialized.com/us/en/s-works-prevail-3/p/220798?color=361544-220798","S, M, L","Large",300,0,0,0,24,2023-03-15T21:59:41Z,,"PUBLISHED"
"Bontrager Starvos Wavecel XL","0e025653-7e6e-4d9f-8361-cdb7d6996e0f",2023-03-16T16:34:15Z,2023-03-16T16:36:43Z,"cddc9fb8-53a5-49c9-8806-8b4a72a7b619","wix:image://v1/cddc9f_f6a27510a3cd472383f648a4405a5e09~mv2.png/BontragerStarvosWaveCel_edited.png#originWidth=1380&originHeight=1427","5 Stars",60,66,,240,240,178,178,"https://www.trekbikes.com/us/en_US/equipment/bike-accessories/bike-helmets/mountain-bike-helmets/bontrager-starvos-wavecel-cycling-helmet/p/31567/?colorCode=white","XS, S, M, L, XL","XLarge",105,0,0,0,28,2023-03-16T16:33:47Z,,"PUBLISHED"
"Test Helmet 2","379547f5-3c44-4e2d-b7e0-0ab7149a613c",2023-03-17T02:10:37Z,2023-03-17T06:28:52Z,"cddc9fb8-53a5-49c9-8806-8b4a72a7b619","wix:image://v1/155640_6ef5da020ab14eb5a112b8fd57fd76ed~mv2.jpg/Giro-Synthe-Mips-II-Bike-Helmet.jpg#originWidth=1080&originHeight=1080","N/A",62,68,,245,245,245,245,"https://www.kavsports.com",,,100,0,0,0,0,2023-03-17T02:10:36Z,,"PUBLISHED"
"Kask Valegro Large","3f5ed2ae-7aec-44eb-b9a7-25b932de3d96",2023-03-15T22:09:47Z,2023-03-16T06:44:46Z,"cddc9fb8-53a5-49c9-8806-8b4a72a7b619","wix:image://v1/155640_f2bc28ca7ce0405a969959b6b2bb6a90~mv2.jpg/Kask-Valegro-Road-Bike-Helmet.jpg#originWidth=1080&originHeight=1080","3 Stars",59,62,"Polycarbonate",219,219,175,175,"https://www.amazon.com/Valegro-Cycling-Cyclocross-Maximum-Ventilation/dp/B08XN1GRZD/ref=sr_1_2?crid=8K64KEMWX567&keywords=kask+valegro&qid=1678918234&sprefix=kask+valegro%2Caps%2C235&sr=8-2","S, M, L","Large",250,0,0,0,27,2023-03-15T21:59:41Z,,"PUBLISHED"
"Test Helmet 4","416d6458-4555-4879-a951-c337545076a7",2023-03-17T04:02:51Z,2023-03-17T07:01:57Z,"cddc9fb8-53a5-49c9-8806-8b4a72a7b619","wix:image://v1/155640_6ef5da020ab14eb5a112b8fd57fd76ed~mv2.jpg/Giro-Synthe-Mips-II-Bike-Helmet.jpg#originWidth=1080&originHeight=1080","Unrated",62,69,,250,210,250,230,"https://www.kavsports.com",,,150,0,0,0,0,2023-03-17T04:01:25Z,,"PUBLISHED"
"Specialized Prevail 3 Medium","50e6c20d-30a3-4ba8-b4a5-97fd8ebd88ef",2023-03-15T22:17:44Z,2023-03-16T06:44:46Z,"cddc9fb8-53a5-49c9-8806-8b4a72a7b619","wix:image://v1/155640_588ebd4925d041c0a75f78130697fce2~mv2.jpg/Specialized-Prevail-III-Road-Bike-Helmet.jpg#originWidth=1080&originHeight=1080","5 Stars",55,59,"EPS Foam",224,224,165,165,"https://www.specialized.com/us/en/s-works-prevail-3/p/220798?color=361544-220798","S, M, L","Medium",300,0,0,0,24,2023-03-15T21:59:41Z,,"PUBLISHED"
"Bontrager XXX","55c5efc5-af2e-40d2-a86e-31d2f0010319",2022-12-08T04:16:53Z,2023-03-15T21:59:04Z,"155640d3-f55b-4d06-922e-da899d225e77","wix:image://v1/155640_89a798cb43c4418da8e874b0af68ebc7~mv2.jpg/Bontrager-XXX-Bike-Helmet.jpg#originWidth=1080&originHeight=1080","5 Stars",51,57,"EPS Foam",205,180,305,157,"https://www.amazon.com/Giro-Eclipse-Spherical-Cycling-Helmet/dp/B09KKV8FP8/ref=sr_1_1_sspa?crid=262ZJ1YGU0LT&keywords=giro%2Beclipse&qid=1669143713&sprefix=giro%2Beclipse%2Caps%2C228&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&smid=A2KUKHS52EIZXC&th=1&psc=1","S, M, L","Small",200,0,0,0,30,,2023-03-15T21:59:03Z,"DRAFT"
"Bontrager Starvos Wavecel XS","577d3dcf-5f1e-4293-9566-e4dfc85e9350",2023-03-16T16:33:48Z,2023-03-16T16:37:53Z,"cddc9fb8-53a5-49c9-8806-8b4a72a7b619","wix:image://v1/cddc9f_f6a27510a3cd472383f648a4405a5e09~mv2.png/BontragerStarvosWaveCel_edited.png#originWidth=1380&originHeight=1427","5 Stars",50,55,,200,200,149,149,"https://www.trekbikes.com/us/en_US/equipment/bike-accessories/bike-helmets/mountain-bike-helmets/bontrager-starvos-wavecel-cycling-helmet/p/31567/?colorCode=white","XS, S, M, L, XL","XSmall",105,0,0,0,28,2023-03-16T16:33:47Z,,"PUBLISHED"
"Kask Valegro Medium","595ddabf-2cce-418f-bb16-9bc2ee1901be",2023-03-15T22:09:45Z,2023-03-16T06:44:46Z,"cddc9fb8-53a5-49c9-8806-8b4a72a7b619","wix:image://v1/155640_f2bc28ca7ce0405a969959b6b2bb6a90~mv2.jpg/Kask-Valegro-Road-Bike-Helmet.jpg#originWidth=1080&originHeight=1080","3 Stars",52,58,"Polycarbonate",215,215,172,172,"https://www.amazon.com/Valegro-Cycling-Cyclocross-Maximum-Ventilation/dp/B08XN1GRZD/ref=sr_1_2?crid=8K64KEMWX567&keywords=kask+valegro&qid=1678918234&sprefix=kask+valegro%2Caps%2C235&sr=8-2","S, M, L","Medium",250,0,0,0,27,2023-03-15T21:59:41Z,,"PUBLISHED"
"Kask Mojito Medium","5c1b8184-3fac-4400-be75-63552ed1c26e",2023-03-15T22:40:49Z,2023-03-16T06:45:20Z,"cddc9fb8-53a5-49c9-8806-8b4a72a7b619","wix:image://v1/cddc9f_d2138d17dca14344afe3985e14c308f6~mv2.jpeg/KaskMojito.jpeg#originWidth=600&originHeight=600","Unrated",52,58,,202,202,170,170,"https://www.amazon.com/Kask-Mojito-Cubed-Bicycle-Helmet/dp/B08XN2WJ5G/ref=sr_1_2?crid=1QSYLOPN9UES&keywords=kask%2Bmojito&qid=1678920101&sprefix=kask%2Bmojito%2Caps%2C180&sr=8-2&th=1","S, M, L","Medium",170,0,0,0,21,2023-03-15T21:59:41Z,,"PUBLISHED"
"Test Helmet 3","5d922303-f5ea-400a-ac69-6e662cca7812",2023-03-17T04:01:26Z,2023-03-17T07:01:55Z,"cddc9fb8-53a5-49c9-8806-8b4a72a7b619","wix:image://v1/155640_6ef5da020ab14eb5a112b8fd57fd76ed~mv2.jpg/Giro-Synthe-Mips-II-Bike-Helmet.jpg#originWidth=1080&originHeight=1080","Unrated",62,69,,240,210,250,220,"https://www.kavsports.com",,,150,0,0,0,0,2023-03-17T04:01:25Z,,"PUBLISHED"
"Bontrager Starvos Wavecel S","60a5949c-b26d-4a49-89d4-057e017f9a0c",2023-03-15T22:51:59Z,2023-03-17T02:15:45Z,"cddc9fb8-53a5-49c9-8806-8b4a72a7b619","wix:image://v1/cddc9f_f6a27510a3cd472383f648a4405a5e09~mv2.png/BontragerStarvosWaveCel_edited.png#originWidth=1380&originHeight=1427","5 Stars",51,57,,207,207,154,154,"https://www.trekbikes.com/us/en_US/equipment/bike-accessories/bike-helmets/mountain-bike-helmets/bontrager-starvos-wavecel-cycling-helmet/p/31567/?colorCode=white","XS, S, M, L, XL","Small",105,0,0,0,28,2023-03-15T21:59:41Z,,"PUBLISHED"
"Kask Protone Icon Small","7e25cf9f-fb9b-4bd8-8305-ce1489e3ce42",2023-03-15T21:59:41Z,2023-03-16T06:44:46Z,"cddc9fb8-53a5-49c9-8806-8b4a72a7b619","wix:image://v1/155640_e7f38c5f9de64f7bbc335cd9eba2ba16~mv2.jpg/Kask-Protone-Icon-Aero-Bike-Helmet.jpg#originWidth=1080&originHeight=1080","Unrated",50,56,"Polycarbonate",190,190,165,165,"https://www.amazon.com/Kask-Protone-Helmet-Medium-White/dp/B0B3S6W52V/ref=sr_1_1?crid=1L52LH57WUVIB&keywords=kask%2Bprotone%2Bicon&qid=1678917772&sprefix=kask%2Bprotone%2Bic%2Caps%2C177&sr=8-1&th=1","S, M, L","Small",300,0,0,0,23,2023-03-15T21:59:41Z,,"PUBLISHED"
"Specialized Prevail3 ","84988abd-a917-49d5-85ec-60677bc21fcb",2022-11-22T18:50:21Z,2023-03-15T21:59:17Z,"155640d3-f55b-4d06-922e-da899d225e77","wix:image://v1/155640_588ebd4925d041c0a75f78130697fce2~mv2.jpg/Specialized-Prevail-III-Road-Bike-Helmet.jpg#originWidth=1080&originHeight=1080","5 Stars",55,59,"EPS Foam",220,220,320,168,"https://www.amazon.com/Giro-Eclipse-Spherical-Cycling-Helmet/dp/B09KKV8FP8/ref=sr_1_1_sspa?crid=262ZJ1YGU0LT&keywords=giro%2Beclipse&qid=1669143713&sprefix=giro%2Beclipse%2Caps%2C228&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&smid=A2KUKHS52EIZXC&th=1&psc=1","S, M, L","Medium",300,0,0,0,30,,2023-03-15T21:59:17Z,"DRAFT"
"Specialized Evade 3 Medium","8bad4f44-f67b-4afc-a695-f23d38990faa",2023-03-15T22:31:15Z,2023-03-16T06:44:43Z,"cddc9fb8-53a5-49c9-8806-8b4a72a7b619","wix:image://v1/155640_71c6e62b648842808c3f502ec98bd659~mv2.jpg/Specialized-S-Works-Evade-3-Aero-Helmet.jpg#originWidth=1020&originHeight=1020","5 Stars",55,59,"EPS Foam",218,218,165,165,"https://www.specialized.com/us/en/s-works-evade-3/p/220799?color=361541-220799","S, M, L","Medium",300,0,0,0,23,2023-03-15T21:59:41Z,,"PUBLISHED"
"Kask Valegro Small","951cf08b-bed6-4ca5-8264-0f920649d674",2023-03-15T22:00:30Z,2023-03-16T06:44:46Z,"cddc9fb8-53a5-49c9-8806-8b4a72a7b619","wix:image://v1/155640_f2bc28ca7ce0405a969959b6b2bb6a90~mv2.jpg/Kask-Valegro-Road-Bike-Helmet.jpg#originWidth=1080&originHeight=1080","3 Stars",50,56,"Polycarbonate",197,197,158,158,"https://www.amazon.com/Valegro-Cycling-Cyclocross-Maximum-Ventilation/dp/B08XN1GRZD/ref=sr_1_2?crid=8K64KEMWX567&keywords=kask+valegro&qid=1678918234&sprefix=kask+valegro%2Caps%2C235&sr=8-2","S, M, L","Small",250,0,0,0,27,2023-03-15T21:59:41Z,,"PUBLISHED"
"KAV Portola Kaze","98f8b273-379b-4682-acc0-6adb6f264b37",2022-11-22T18:44:24Z,2023-03-15T22:07:51Z,"155640d3-f55b-4d06-922e-da899d225e77","wix:image://v1/155640_080c8b083fd947f4b54063d859c74057~mv2.jpg/KAV-Portola-Road-Bike-Helmet.jpg#originWidth=1080&originHeight=1080","Unrated",45,65,"PolyCarbon",0,0,0,0,"https://www.kavsports.com","Custom - 8 billion sizes","Custom Fit",320,0,0,0,30,2023-03-15T22:07:50Z,,"PUBLISHED"
"Specialized Evade 3","9df649db-5662-4d83-906a-ee3ab775087f",2022-12-08T04:16:52Z,2023-03-15T21:59:06Z,"155640d3-f55b-4d06-922e-da899d225e77","wix:image://v1/155640_71c6e62b648842808c3f502ec98bd659~mv2.jpg/Specialized-S-Works-Evade-3-Aero-Helmet.jpg#originWidth=1020&originHeight=1020","5 Stars",51,56,"EPS Foam",205,182,295,160,"https://www.amazon.com/Giro-Eclipse-Spherical-Cycling-Helmet/dp/B09KKV8FP8/ref=sr_1_1_sspa?crid=262ZJ1YGU0LT&keywords=giro%2Beclipse&qid=1669143713&sprefix=giro%2Beclipse%2Caps%2C228&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&smid=A2KUKHS52EIZXC&th=1&psc=1","S, M, L","Small",300,0,0,0,30,,2023-03-15T21:59:05Z,"DRAFT"
"Kask Protone Icon","ac7d1678-c626-4ee0-9d1f-d17ff486158b",2022-12-08T04:18:36Z,2023-03-16T06:44:46Z,"155640d3-f55b-4d06-922e-da899d225e77","wix:image://v1/155640_e7f38c5f9de64f7bbc335cd9eba2ba16~mv2.jpg/Kask-Protone-Icon-Aero-Bike-Helmet.jpg#originWidth=1080&originHeight=1080","Unrated",59,62,"EPS Foam",230,195,360,182,"https://www.amazon.com/Giro-Eclipse-Spherical-Cycling-Helmet/dp/B09KKV8FP8/ref=sr_1_1_sspa?crid=262ZJ1YGU0LT&keywords=giro%2Beclipse&qid=1669143713&sprefix=giro%2Beclipse%2Caps%2C228&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&smid=A2KUKHS52EIZXC&th=1&psc=1","S, M, L","Large",300,0,0,0,30,,2023-03-15T21:58:59Z,"DRAFT"
"Kask Protone Icon Large","af6b6acc-aa1e-41b6-86a6-ffc864ca664b",2023-03-15T22:00:20Z,2023-03-16T06:44:46Z,"cddc9fb8-53a5-49c9-8806-8b4a72a7b619","wix:image://v1/155640_e7f38c5f9de64f7bbc335cd9eba2ba16~mv2.jpg/Kask-Protone-Icon-Aero-Bike-Helmet.jpg#originWidth=1080&originHeight=1080","Unrated",59,62,"Polycarbonate",211,211,183,183,"https://www.amazon.com/Kask-Protone-Helmet-Medium-White/dp/B0B3S6W52V/ref=sr_1_1?crid=1L52LH57WUVIB&keywords=kask%2Bprotone%2Bicon&qid=1678917772&sprefix=kask%2Bprotone%2Bic%2Caps%2C177&sr=8-1&th=1","S, M, L","Large",300,0,0,0,23,2023-03-15T21:59:41Z,,"PUBLISHED"
"Kask Mojito Large","b2de0bff-4d43-437d-9296-d15f3bbebfe4",2023-03-15T22:40:50Z,2023-03-16T06:45:19Z,"cddc9fb8-53a5-49c9-8806-8b4a72a7b619","wix:image://v1/cddc9f_d2138d17dca14344afe3985e14c308f6~mv2.jpeg/KaskMojito.jpeg#originWidth=600&originHeight=600","Unrated",59,62,,214,214,180,180,"https://www.amazon.com/Kask-Mojito-Cubed-Bicycle-Helmet/dp/B08XN2WJ5G/ref=sr_1_2?crid=1QSYLOPN9UES&keywords=kask%2Bmojito&qid=1678920101&sprefix=kask%2Bmojito%2Caps%2C180&sr=8-2&th=1","S, M, L","Large",170,0,0,0,21,2023-03-15T21:59:41Z,,"PUBLISHED"
"Kask Valegro","b63ce620-9ed7-4396-b140-ae52b6e5cb0c",2022-12-08T04:16:54Z,2023-03-15T21:59:02Z,"155640d3-f55b-4d06-922e-da899d225e77","wix:image://v1/155640_f2bc28ca7ce0405a969959b6b2bb6a90~mv2.jpg/Kask-Valegro-Road-Bike-Helmet.jpg#originWidth=1080&originHeight=1080","3 Stars",59,62,"EPS Foam",232,199,350,180,"https://www.amazon.com/Giro-Eclipse-Spherical-Cycling-Helmet/dp/B09KKV8FP8/ref=sr_1_1_sspa?crid=262ZJ1YGU0LT&keywords=giro%2Beclipse&qid=1669143713&sprefix=giro%2Beclipse%2Caps%2C228&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&smid=A2KUKHS52EIZXC&th=1&psc=1","S, M, L","Large",250,0,0,0,30,,2023-03-15T21:59:01Z,"DRAFT"
"Kask Protone","b6908208-fdd6-4016-bc19-0b70d1abd54f",2022-12-04T01:31:28Z,2023-03-15T21:59:12Z,"155640d3-f55b-4d06-922e-da899d225e77","wix:image://v1/155640_f12d49d823d94064854f742142cc81a4~mv2.jpg/Kask-Protone-Aero-Bike-Helmet.jpg#originWidth=1080&originHeight=1080","Unrated",50,56,"EPS Foam",225,225,330,175,"https://www.amazon.com/Giro-Eclipse-Spherical-Cycling-Helmet/dp/B09KKV8FP8/ref=sr_1_1_sspa?crid=262ZJ1YGU0LT&keywords=giro%2Beclipse&qid=1669143713&sprefix=giro%2Beclipse%2Caps%2C228&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&smid=A2KUKHS52EIZXC&th=1&psc=1","S, M, L","Medium",300,0,0,0,30,,2023-03-15T21:59:12Z,"DRAFT"
"Kask Protone Icon Medium","bc710e4a-5976-43b9-814b-c7a317de3a61",2023-03-15T22:00:08Z,2023-03-16T06:44:46Z,"cddc9fb8-53a5-49c9-8806-8b4a72a7b619","wix:image://v1/155640_e7f38c5f9de64f7bbc335cd9eba2ba16~mv2.jpg/Kask-Protone-Icon-Aero-Bike-Helmet.jpg#originWidth=1080&originHeight=1080","Unrated",52,58,"Polycarbonate",208,208,180,180,"https://www.amazon.com/Kask-Protone-Helmet-Medium-White/dp/B0B3S6W52V/ref=sr_1_1?crid=1L52LH57WUVIB&keywords=kask%2Bprotone%2Bicon&qid=1678917772&sprefix=kask%2Bprotone%2Bic%2Caps%2C177&sr=8-1&th=1","S, M, L","Medium",300,0,0,0,23,2023-03-15T21:59:41Z,,"PUBLISHED"
"Test Helmet 1","bf5bfd11-de6d-4315-bb8e-cf5157cd84b1",2023-03-17T01:00:28Z,2023-03-17T06:28:49Z,"cddc9fb8-53a5-49c9-8806-8b4a72a7b619","wix:image://v1/155640_6ef5da020ab14eb5a112b8fd57fd76ed~mv2.jpg/Giro-Synthe-Mips-II-Bike-Helmet.jpg#originWidth=1080&originHeight=1080","N/A",62,68,,235,250,250,225,"https://www.kavsports.com",,,100,0,0,0,0,2023-03-17T01:00:27Z,,"PUBLISHED"
"Bontrager Starvos Wavecel M","c7cc1a97-dd7f-4727-9ccf-3b1909d1de03",2023-03-15T22:52:13Z,2023-03-16T16:34:59Z,"cddc9fb8-53a5-49c9-8806-8b4a72a7b619","wix:image://v1/cddc9f_f6a27510a3cd472383f648a4405a5e09~mv2.png/BontragerStarvosWaveCel_edited.png#originWidth=1380&originHeight=1427","5 Stars",54,60,,215,215,160,160,"https://www.trekbikes.com/us/en_US/equipment/bike-accessories/bike-helmets/mountain-bike-helmets/bontrager-starvos-wavecel-cycling-helmet/p/31567/?colorCode=white","XS, S, M, L, XL","Medium",105,0,0,0,28,2023-03-15T21:59:41Z,,"PUBLISHED"
"Bontrager Starvos Wavecel L","cee0dd62-f634-40c8-8e37-6e7cdec372a9",2023-03-15T22:52:15Z,2023-03-16T16:39:29Z,"cddc9fb8-53a5-49c9-8806-8b4a72a7b619","wix:image://v1/cddc9f_f6a27510a3cd472383f648a4405a5e09~mv2.png/BontragerStarvosWaveCel_edited.png#originWidth=1380&originHeight=1427","5 Stars",58,63,,229,229,170,170,"https://www.trekbikes.com/us/en_US/equipment/bike-accessories/bike-helmets/mountain-bike-helmets/bontrager-starvos-wavecel-cycling-helmet/p/31567/?colorCode=white","XS, S, M, L, XL","Large",105,0,0,0,28,2023-03-15T21:59:41Z,,"PUBLISHED"
"Specialized Evade 3 Large","e00b12d7-70b9-4d87-b2b3-3fc136f1f738",2023-03-15T22:31:22Z,2023-03-16T06:44:43Z,"cddc9fb8-53a5-49c9-8806-8b4a72a7b619","wix:image://v1/155640_71c6e62b648842808c3f502ec98bd659~mv2.jpg/Specialized-S-Works-Evade-3-Aero-Helmet.jpg#originWidth=1020&originHeight=1020","5 Stars",58,62,"EPS Foam",224,224,169,169,"https://www.specialized.com/us/en/s-works-evade-3/p/220799?color=361541-220799","S, M, L","Large",300,0,0,0,23,2023-03-15T21:59:41Z,,"PUBLISHED"
"Specialized Prevail 3 Small","e13cb96a-fe7f-412d-b58c-12f5d80c9361",2023-03-15T22:15:59Z,2023-03-16T06:44:46Z,"cddc9fb8-53a5-49c9-8806-8b4a72a7b619","wix:image://v1/155640_588ebd4925d041c0a75f78130697fce2~mv2.jpg/Specialized-Prevail-III-Road-Bike-Helmet.jpg#originWidth=1080&originHeight=1080","5 Stars",51,56,"EPS Foam",204,204,150,150,"https://www.specialized.com/us/en/s-works-prevail-3/p/220798?color=361544-220798","S, M, L","Small",300,0,0,0,24,2023-03-15T21:59:41Z,,"PUBLISHED"
"Giro Synthe MIPS II","e7784c0a-a889-4631-94ff-d7436c590f8a",2022-12-08T04:18:57Z,2023-03-16T06:44:46Z,"155640d3-f55b-4d06-922e-da899d225e77","wix:image://v1/155640_6ef5da020ab14eb5a112b8fd57fd76ed~mv2.jpg/Giro-Synthe-Mips-II-Bike-Helmet.jpg#originWidth=1080&originHeight=1080","5 Stars",59,63,"EPS Foam",235,190,355,185,"https://www.amazon.com/Giro-Eclipse-Spherical-Cycling-Helmet/dp/B09KKV8FP8/ref=sr_1_1_sspa?crid=262ZJ1YGU0LT&keywords=giro%2Beclipse&qid=1669143713&sprefix=giro%2Beclipse%2Caps%2C228&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&smid=A2KUKHS52EIZXC&th=1&psc=1","S, M, L","Large",200,0,0,0,30,,2023-03-15T21:58:57Z,"DRAFT"
"Specialized Evade 3 Small","f1a19c5b-40dd-4709-925e-bab74f7b6980",2023-03-15T22:30:56Z,2023-03-16T06:44:43Z,"cddc9fb8-53a5-49c9-8806-8b4a72a7b619","wix:image://v1/155640_71c6e62b648842808c3f502ec98bd659~mv2.jpg/Specialized-S-Works-Evade-3-Aero-Helmet.jpg#originWidth=1020&originHeight=1020","5 Stars",51,56,"EPS Foam",202,202,153,153,"https://www.specialized.com/us/en/s-works-evade-3/p/220799?color=361541-220799","S, M, L","Small",300,0,0,0,23,2023-03-15T21:59:41Z,,"PUBLISHED"
"POC Ventral MIPS","f1cb1630-742f-41bb-b4f1-ec85e3217008",2022-12-08T04:16:51Z,2023-03-15T21:59:09Z,"155640d3-f55b-4d06-922e-da899d225e77","wix:image://v1/155640_f171c6c0a40c412bb6cdd60499008de0~mv2.jpg/POC-Ventral-MIPS-Bike-Helmet.jpg#originWidth=1080&originHeight=1080","Unrated",50,56,"EPS Foam",200,190,300,162,"https://www.amazon.com/Giro-Eclipse-Spherical-Cycling-Helmet/dp/B09KKV8FP8/ref=sr_1_1_sspa?crid=262ZJ1YGU0LT&keywords=giro%2Beclipse&qid=1669143713&sprefix=giro%2Beclipse%2Caps%2C228&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&smid=A2KUKHS52EIZXC&th=1&psc=1","S, M, L","Small",260,0,0,0,30,,2023-03-15T21:59:09Z,"DRAFT"
"Giro Eclipse","f9179c16-6bfe-4bcc-9731-3ad53111c441",2022-11-22T18:59:27Z,2023-03-15T21:59:16Z,"155640d3-f55b-4d06-922e-da899d225e77","wix:image://v1/155640_1b32c44e02e146548d4738a0f0a4a6dc~mv2.jpg/Giro-Eclipse-Road-Bike-Helmet.jpg#originWidth=1080&originHeight=1080","Unrated",55,59,"EPS Foam",215,210,340,172,"https://www.amazon.com/Giro-Eclipse-Spherical-Cycling-Helmet/dp/B09KKV8FP8/ref=sr_1_1_sspa?crid=262ZJ1YGU0LT&keywords=giro%2Beclipse&qid=1669143713&sprefix=giro%2Beclipse%2Caps%2C228&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&smid=A2KUKHS52EIZXC&th=1&psc=1","S, M, L","Medium",250,0,0,0,30,,2023-03-15T21:59:15Z,"DRAFT"
